Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
tantalum,007440-25-7,,"Ta;タンタル（資源）;Ta reserves;tantalum reserves,Ta;タンタル（資源）;Ta reserves;tantalum reserves",kg,,,,Resources/ground/Non-renewable element resources,0f71841a-b9a4-49cc-8c71-516c2b86f94a,,
terbium,007440-27-9,,"Tb;テルビウム（資源）;Tb reserves;terbium reserves,Tb;テルビウム（資源）;Tb reserves;terbium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ff73aebd-cfdc-482c-823f-7139c6c386b7,,
tellurium,013494-80-9,,"Te;テルル（資源）;Te reserves;tellurium reserves,Te;テルル（資源）;Te reserves;tellurium reserves",kg,,,,Resources/ground/Non-renewable element resources,f4c91f71-fd22-4a49-91ee-dd9fe6c4e4ac,,
thorium,007440-29-1,,"Th;トリウム（資源）;Th reserves;thorium reserves,Th;トリウム（資源）;Th reserves;thorium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,3624ea9d-4d59-44a0-a556-08c3c51538a3,,
titanium,007440-32-6,,"Ti;チタン（資源）;Ti reserves;titanium reserves,Ti;チタン（資源）;Ti reserves;titanium reserves",kg,,,,Resources/ground/Non-renewable element resources,c5ae18a1-98f2-4809-9ca7-c4783aa4cfc8,,
thallium,007440-28-0,,"Tl;タリウム（資源）;Tl reserves;thallium reserves,Tl;タリウム（資源）;Tl reserves;thallium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,fa1996a5-0272-492d-b75b-ec406ac4145a,,
thulium,007440-30-4,,"Tm;ツリウム（資源）;Tm reserves;thulium reserves,Tm;ツリウム（資源）;Tm reserves;thulium reserves",kg,,,,Resources/ground/Non-renewable element resources,adeb44b6-b13b-48e7-a477-65ba5196dd15,,
uranium,007440-61-1,,"U;ウラン（資源）;U reserves;uranium reserves,U;ウラン（資源）;U reserves;uranium reserves",MJ,,,,Resources/ground/Non-renewable energy resources,9b9c722d-9232-4d57-8fe8-99b71a38aa68,,
uranium,007440-61-1,,"U;ウラン（資源）;U reserves;uranium reserves,U;ウラン（資源）;U reserves;uranium reserves",kg,,,,Resources/ground/Non-renewable energy resources,f7d890b9-9192-425e-840d-55dacdc6deea,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,68bf2d97-bf8e-4346-90e3-360d8dfb5a17,,
