Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
HCFC-141b,001717-00-6,,"C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane,C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,9d3aef56-8289-42e4-8667-d028f4f81e32,,
hydrogen chloride,007647-01-0,,"HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid,HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid",kg,Element or Compound,,,Emissions/air/unspecified,436fe3ce-9299-497f-8b24-691e8f11a27c,,
HFC-134a,000811-97-2,,"C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane,C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,b07aad13-4534-48fc-b3d8-d0183bd8e2ba,,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/air/unspecified,d1ddefa4-49e3-4c33-8d8e-89f21465ace1,,
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,Element or Compound,,,Emissions/air/unspecified,8719ac93-a2a5-44e7-ae2a-8c50f335e335,,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/air/unspecified,0b8d089d-245d-4000-9f9b-634077ffd2ca,,
non-methane volatile organic compounds,,,"NMVOC,NMVOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,e8a04ecd-1803-4d56-8910-b6d0eb209b03,,
"NOx, unspecified",,,"窒素酸化物;NOx;nitrogen oxides,窒素酸化物;NOx;nitrogen oxides",kg,Groups of Chemicals ,,,Emissions/air/unspecified,a202fb77-5a64-44aa-93c6-bcb0080071d0,,
"NOx, urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,5311b160-c3e1-43f8-ad9c-767e55862878,,
"NOx, non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,DB17C1E1-F2FF-4561-812D-E6BD7F6D5566,,
polycyclic aromatic hydrocarbons,,,"PAH,PAH",kg,Groups of Chemicals ,,,Emissions/air/unspecified,c43fc22b-b4c4-4e8f-bd6c-c09e2b787b5f,,
"Particulates (PM10), unspecified",,,"PM 10;粒子状物質(PM10);PM;PM10;particulate matter (PM10);PM,PM 10;粒子状物質(PM10);PM;PM10;particulate matter (PM10);PM",kg,Groups of Chemicals ,,,Emissions/air/unspecified,561a9029-1a33-4310-bbd4-65bc66c8c14e,,
"Particulates (PM2.5), urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,d1a415e6-1bd9-4bab-90e9-17af6f07c983,,
"Particulates (PM2.5), non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,79AA370E-7E16-447F-B91B-A539420227F6,,
sulfur hexafluoride,002551-62-4,,"SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride,SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride",kg,Element or Compound,,,Emissions/air/unspecified,d408e8dd-3e8b-44f2-8253-d30e5fc230d4,,
"sulfur dioxide, unspecified",007446-09-5,,"SO2;Sulphur dioxide;二酸化硫黄;無水亜硫酸;亜硫酸ガス;SO2;sulphur dioxide;sulphurous anhydride;sulphurous oxide,SO2;Sulphur dioxide;二酸化硫黄;無水亜硫酸;亜硫酸ガス;SO2;sulphur dioxide;sulphurous anhydride;sulphurous oxide",kg,Element or Compound,,,Emissions/air/unspecified,3c8ad6f2-630c-4c1e-8575-f727cdd60fdb,,
"sulfur dioxide, urban high stacks",,,,kg,Element or Compound,,,Emissions/air/urban high stacks,a20123c0-34c0-4d2b-b87e-ef53a241a01f,,
"sulfur dioxide, non-urban",,,,kg,Element or Compound,,,Emissions/air/non-urban,41766FE9-F1F8-4F35-AD6E-A5DE7EF9C8C3,,
"SOx, unspecified",,,"硫黄酸化物;SOx;sulphur oxides,SOx;sulphur oxides",kg,Groups of Chemicals ,,,Emissions/air/unspecified,27a9b133-9321-437b-81c7-ef63f7224498,,
"SOx, non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,B20FDE96-0B2E-48AE-A33A-07F3B29F96DD,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Element or Compound,,,Emissions/air/unspecified,661fac03-7cc2-4a61-85a4-0a6a5a3f4596,,
volatile organic compound,,,"VOC,VOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,c5437bfb-bae0-4d63-b051-073a8d24308e,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/air/unspecified,f7172587-dab5-43f0-a803-c1b1b64a990e,,
PFC-116,000076-16-4,,"C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116,C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116",kg,Element or Compound,,,Emissions/air/unspecified,8fd8c48d-4015-413e-855e-652f4ee72191,,
PFC-14,000075-73-0,,"CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14,CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14",kg,Element or Compound,,,Emissions/air/unspecified,3d42687a-1101-457b-9439-ca2daff845fc,,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Element or Compound,,,Emissions/air/unspecified,66279e57-891b-4e61-aad5-579a48a81da7,,
benzopyrenes,,,"benzopyrenes,benzopyrenes",kg,Element or Compound,,,Emissions/air/unspecified,be6092be-c800-4c78-b203-bce3c77d9b06,,
water vapour,007732-18-5,,H2O,kg,Element or Compound,,,Emissions/air/unspecified,303a9a48-5ff3-41b9-9842-3fb2c52aa79c,,
transpiration_ground water,007732-18-5,,"蒸発散_地下水,evapotranspiration_ground water",m3,Water,,,Resources/water/consumption,3CD502AE-62C9-45C8-9285-AD9A4AD052FC,,
transpiration rain water,007732-18-5,,"蒸発散_雨水,evapotranspiration_rainwater",m3,Water,,,Resources/water/consumption,A627064B-2A9C-4054-BF35-08518777FDF8,,
2-methyl-4-chlorophenoxyacetic acid,000094-74-6,,"C9H9ClO3;MCPA;MCP;MCPA;(4-chloro-2-methylphenoxy)acetic acid;MCP;MCPA,C9H9ClO3;MCPA;MCP;MCPA;(4-chloro-2-methylphenoxy)acetic acid;MCP;MCPA",kg,Element or Compound,,,Emissions/air/unspecified,c80c3cc1-9988-4a5e-8dab-18b756443464,,
cobalt,,,Co;コバルト（資源）;Co reserves;cobalt reserves,kg,Element or Compound,,,Emissions/air/unspecified,49b61826-2123-4b94-ad07-c5bcf81d00f1,,
