Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,,,,,,,,,FlowInternalID,UsedYn,,
diatomite,068855-54-9,,"けいそう岩;けいそう土;SiO2;Diatomaceous silica,SiO2;Diatomaceous silica",kg,Geological,,,Resources/ground/Non-renewable material resources,fe848702-6f57-44fc-8402-a7bfc2ff92c9,,,,,,,,,,,,1231,1,,Geological
graphite ore,007782-42-5,,"グラファイト;炭素;C;graphite,グラファイト;炭素;C;graphite",kg,Geological,,,Resources/ground/Non-renewable material resources,be2e7675-3bf2-4d97-ac4c-77415712de82,,,,,,,,,,,,1233,1,,
limestone,001317-65-3,,"CaCO3;colloidal calcium carbonate,CaCO3;colloidal calcium carbonate",kg,Geological,,,Resources/ground/Non-renewable material resources,74fd1539-c6e3-48df-9033-a2b35aeadf70,,,,,,,,,,,,1237,1,,Geological
talc,014807-96-6,,"滑石;Mg3Si4O10(OH2)2,Mg3Si4O10(OH2)2",kg,Geological,,,Resources/ground/Non-renewable material resources,71856b35-2b7b-48d9-ab86-a008e171cec8,,,,,,,,,,,,1239,1,,
feldspar,012168-80-8,,"Na-K-(AlSi3O8),Na-K-(AlSi3O8)",kg,Geological,,,Resources/ground/Non-renewable material resources,90aaebec-d001-4401-a558-117f5637fd7b,,,,,,,,,,,,1240,1,,
dolomite,069227-00-5,,"CaMg(CO3)2,CaMg(CO3)2",kg,Geological,,,Resources/ground/Non-renewable material resources,2f0739c2-9801-4eb3-854f-5226e3997c1d,,,,,,,,,,,,1244,1,,Geological
clay,070694-09-6,,,kg,Geological,,,Resources/ground/Non-renewable material resources,5722d97e-a89e-4350-ba6d-0894a9222a26,,,,,,,,,,,,1245,1,,Geological
bentonite,001302-78-9,,"Al2O3.4(SiO2).H2O,Al2O3.4(SiO2).H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,2a782909-8810-4abc-a713-f24c27373035,,,,,,,,,,,,1249,1,,
borax,012447-40-4,,"Na2B4O7.10H2O,Na2B4O7.10H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,d40501fe-9a8a-4968-b71b-93ddf742241e,,,,,,,,,,,,1250,1,,
fluorspar,014542-23-5,,"CaF2,CaF2",kg,Geological,,,Resources/ground/Non-renewable material resources,7616f260-343b-42e1-9058-f36a14d68ef9,,,,,,,,,,,,1252,1,,
sodium carbonate,000497-19-8,,"Na2CO3;Soda;炭酸ソーダ,Na2CO3;Soda;炭酸ソーダ",kg,Geological,,,Resources/ground/Non-renewable material resources,323cc137-7ed7-4174-8152-d90d8ceeef5d,,,,,,,,,,,,1255,1,,
silica stone,,,"けい石;ケイ石,",kg,Geological,,,Resources/ground/Non-renewable material resources,f4e862f5-9c0d-4267-bc12-df1de6e8c47d,,,,,,,,,,,,1256,1,,
marble,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,8e64309e-882a-4956-92d8-da1d0c514656,,,,,,,,,,,,1257,1,,Geological
