SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,SourceFlowCAS,SourceFlowCAS_Nolead_0,Notes,,TAH notes
ecoinvent,Sulfur hexafluoride,856c9aa2-c20c-49a8-9417-c71bdb5f17b0,air/ urban air close to ground,kg,=,,Sulfur hexafluoride,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,002551-62-4,2551624,CAS Match,,
ecoinvent,Sulfur hexafluoride,c7c769bb-89b9-4459-afed-e3acecd39339,air/ non-urban air or from high stacks,kg,=,,Sulfur hexafluoride,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,002551-62-4,2551624,CAS Match,,in FEDEFL
ecoinvent,Sulfur hexafluoride,35d1dff5-b535-4628-9826-4a8fce08a1f2,air/ unspecified,kg,=,,Sulfur hexafluoride,,emission/air,kg,Edelen,Hottle,7/16/2020,002551-62-4,2551624,CAS Match,,
ecoinvent,Sulfur oxides,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd,air/ unspecified,kg,=,,Sulfur oxides,,emission/air,kg,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Sulfur trioxide,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,air/ urban air close to ground,kg,=,,Sulfur trioxide,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,007446-11-9,7446119,CAS Match,,
ecoinvent,Sulfur trioxide,3268d8df-59cc-4740-a89f-dee8355ad7c3,air/ unspecified,kg,=,,Sulfur trioxide,,emission/air,kg,Edelen,Hottle,7/16/2020,007446-11-9,7446119,CAS Match,,
ecoinvent,Sulfuric acid,7ecc2b66-8dde-4266-8832-f492f564377b,air/ urban air close to ground,kg,=,,Sulfuric acid,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,007664-93-9,7664939,CAS Match,,
ecoinvent,Sulfuric acid,5c9d8310-f7e1-4e98-8e73-7eece0435676,air/ non-urban air or from high stacks,kg,=,,Sulfuric acid,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,007664-93-9,7664939,CAS Match,,
ecoinvent,Sulfuric acid,99c65c6a-6871-40ba-af79-5bd6851688e4,air/ unspecified,kg,=,,Sulfuric acid,,emission/air,kg,Edelen,Hottle,7/16/2020,007664-93-9,7664939,CAS Match,,in FEDEFL
ecoinvent,Sulfuric acid,9bb73c31-c01d-4384-b567-15c1544ae581,soil/ agricultural,kg,=,,Sulfuric acid,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,007664-93-9,7664939,CAS Match,,
ecoinvent,Sulfuric acid,6ec8c964-83df-42f3-a1ae-35c1f905cfba,water/ surface water,kg,=,,Sulfuric acid,,emission/water,kg,Edelen,Hottle,7/16/2020,007664-93-9,7664939,CAS Match,,
ecoinvent,"Solids, inorganic",ca53777e-d36e-4db0-95ce-009f1d8593b8,water/ ground-,kg,=,,"Suspended solids, inorganic",,emission/ground/subterranean,kg,Edelen,Hottle,7/16/2020,,,Matched by name_ALLmapping,,
ecoinvent,"Solids, inorganic",78ef06c6-9fd3-4237-b077-48c932547412,water/ ocean,kg,=,,"Suspended solids, inorganic",,emission/water/saline water body/ocean,kg,Edelen,Hottle,7/16/2020,,,Matched by name_ALLmapping,,
ecoinvent,"Solids, inorganic",ae0d4a92-45f4-4293-9fdd-2bbe078bc75f,water/ surface water,kg,=,,"Suspended solids, inorganic",,emission/water,kg,Edelen,Hottle,7/16/2020,,,Matched by name_ALLmapping,,
ecoinvent,"Solids, inorganic",0b111253-26b5-4a03-97fb-ed7799c21797,water/ unspecified,kg,=,,"Suspended solids, inorganic",,emission/water,kg,Edelen,Hottle,7/16/2020,,,Matched by name_ALLmapping,,
ecoinvent,"Tantalum, in ground",775fdf03-b0bb-5c25-b14d-107231d5b2f0,natural resource/ in ground,kg,=,,Tantalum,,resource/ground,kg,Edelen,Hottle,7/16/2020,007440-25-7,7440257,CAS Match,,
ecoinvent,tau-Fluvalinate,92681c17-2514-4151-aabf-baee3fd8e5f5,soil/ agricultural,kg,=,,Tau-fluvalinate,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,102851-06-9,102851069,CAS Match,,
ecoinvent,Tebuconazole,a805071f-ce96-4d72-bdd5-4334d9aa3c23,soil/ agricultural,kg,=,,Tebuconazole,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,080443-41-0,80443410,Name Match,,
ecoinvent,Tebuconazole,65a6b1d7-ced3-4ae3-9789-c82060af6b2f,air/ non-urban air or from high stacks,kg,=,,Tebuconazole,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,080443-41-0,80443410,Name Match,,
ecoinvent,Tebuconazole,69349323-70b7-41d0-aeef-a29b49a89f85,water/ surface water,kg,=,,Tebuconazole,,emission/water,kg,Edelen,Hottle,7/16/2020,080443-41-0,80443410,Name Match,,
ecoinvent,Tebuconazole,b1f2f5fb-9107-43ca-8066-9033d23f184c,water/ ground-,kg,=,,Tebuconazole,,emission/water/subterranean,kg,Edelen,Hottle,7/16/2020,107534-96-3,107534963,CAS Match,,
ecoinvent,Technetium-99m,f09c1931-85fb-4f50-be9d-15d5c0f5e11e,water/ surface water,kBq,=,,Technetium-99m,,emission/water,kBq,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Teflubenzuron,ad419049-3445-481f-97a3-3d4529ee924f,soil/ agricultural,kg,=,,Teflubenzuron,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,083121-18-0,83121180,CAS Match,,
ecoinvent,Tefluthrin,273b51ae-dcc4-45c6-b8da-f6ba0313edf8,soil/ agricultural,kg,=,,Tefluthrin,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,079538-32-2,79538322,CAS Match,,
ecoinvent,Tefluthrin,7722209c-9953-4e3d-9854-5eaf36e147f8,air/ non-urban air or from high stacks,kg,=,,Tefluthrin,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,079538-32-2,79538322,CAS Match,,
