Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"collected rainwater to lake, regionalized, EE",m3,kg,1000.0,added,1d8a595d-16f7-465e-ab68-b494c2f93e6b
"turbined water to river, regionalized, GR",m3,kg,1000.0,added,1deb4f61-3e52-4d35-b3bc-d4857c5817f4
"cooling water to lake, regionalized, CO",m3,kg,1000.0,added,1e483621-a4e1-4809-8a7b-ab019dd8cb8f
"processed water to river, regionalized, BR",m3,kg,1000.0,added,1e6f83eb-4981-40fc-875e-c56ab6aa2e42
"collected rainwater to lake, regionalized, PT",m3,kg,1000.0,added,1e8b18cb-1ad2-490f-9571-584b828c0922
"river water, regionalized, PT",m3,kg,1000.0,added,1ebebbb6-7646-48c6-97f9-57997dd20468
"lake water, regionalized, BG",m3,kg,1000.0,added,1ee200bf-a543-410f-8f38-152cb4267c63
"collected rainwater to river, regionalized, UA",m3,kg,1000.0,added,1f092871-bfbd-44ac-bbfc-048f22b10c28
surface water,m3,kg,1000.0,added,1f31247d-6556-11dd-ad8b-0800200c9a66
"turbined water to lake, regionalized, LT",m3,kg,1000.0,added,1f56d73b-d67d-410a-9261-863eec8f3296
"cooling water to lake, regionalized, UA",m3,kg,1000.0,added,1f5b923b-e8ff-4871-9c29-1cc3dbf2e0e9
"collected rainwater to lake, regionalized, NG",m3,kg,1000.0,added,206030e3-2aaa-435d-9dea-69d5dd585b09
"lake water, regionalized, HU",m3,kg,1000.0,added,208ac939-6d8d-475d-a3d0-a71f8f552a12
"turbined water to lake, regionalized, SG",m3,kg,1000.0,added,20e33e6f-ecfe-4701-a061-adfcb4139ca3
"river water,  very high scarcity",m3,kg,1000.0,added,21f316cd-6888-4c3a-9ad2-5e8051786109
"processed water to groundwater, regionalized, NL",m3,kg,1000.0,added,220c31d8-610d-4552-a1f2-46701026c8db
"collected rainwater to river, regionalized, JP",m3,kg,1000.0,added,22ad5224-776a-4489-8ae3-6279f44747f4
