SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent_v3.6,Lauric acid,4dc5b593-5953-57de-b908-c3c34a558f40,water/unspecified,kg,=,1,FEDEFLv1.0.3,Lauric acid,7fd452bd-9ee5-3872-93af-e4ff76d00add,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Diphenylether-compound,1d8560a8-23e0-57f0-ade2-69103c953de8,water/unspecified,kg,=,1,FEDEFLv1.0.3,Phenyl ether,3492875a-2a55-389c-a12e-4cc7f4edd925,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"1,3-Dioxolan-2-one",5b7d620e-2238-5ec9-888a-6999218b6974,water/unspecified,kg,=,1,FEDEFLv1.0.3,Ethylene carbonate,87922cbf-bf22-30af-9904-bce6c7b8d20f,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Dimethyl carbonate,d18838bc-54cd-5d6f-a8f3-9b94cfc8472d,air/unspecified,kg,=,1,FEDEFLv1.0.3,"Carbonic acid, dimethyl ester",3674d95b-7791-38da-ad95-aafaea1b19d6,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Dinitrogen tetroxide,4cd94f47-0da2-5c4a-bfae-013bacbcf648,air/unspecified,kg,=,1,FEDEFLv1.0.3,Nitrogen tetroxide,8587013b-19dd-35aa-ac5f-bf19e29901b8,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Nitric oxide,17f7e776-7934-54af-8c3c-ed0247cb697b,air/unspecified,kg,=,1,FEDEFLv1.0.3,Nitric oxide,e4683d80-6078-3dd4-b381-6489015df3db,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Lauric acid,b0d2b7b9-c76d-50d4-b776-b9419ae83abe,air/unspecified,kg,=,1,FEDEFLv1.0.3,Lauric acid,f4cd75b2-9bf8-3d97-8113-c81023d7e3a2,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Bisphenol A,0bb38d46-04e7-52f2-99de-5861a8220a49,water/unspecified,kg,=,1,FEDEFLv1.0.3,"4,4'-Isopropylidenediphenol",126bd48d-5d75-38f2-81f9-7a36dd22d219,emission/water,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,Epichlorohydrin,1247aa8b-3a24-552a-bddf-bb578e5d2dc5,water/unspecified,kg,=,1,FEDEFLv1.0.3,Epichlorohydrin,6b9f80f5-e697-3f89-8914-e6fe87a6169c,emission/water,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,Phosgene,53b9f77b-7336-5c15-9e01-62a25d3e3d75,air/unspecified,kg,=,1,FEDEFLv1.0.3,Phosgene,11ba4e10-27e8-3145-aab7-29f4b254e7af,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
