SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
IDEAv2.2,radium,86ecdf99-6874-410b-bd2a-bf00801db599,Resources/ground/Non-renewable element resources,kg,=,37000000000,Radium-226,4d63bb81-c83b-3c75-a5d9-c77c88a22f7e,resource/ground,kBq,Hottle,Edelen,8/24/2020
IDEAv2.2,rubidium,e5017f16-935f-4e0a-bf9e-36693b105f69,Resources/ground/Non-renewable element resources,kg,=,1,Rubidium,63f27c90-540c-3339-ba6b-5ec49954f4a2,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,rhenium,66f8e675-6c94-48bd-9ad4-bf1e83b8ac06,Resources/ground/Non-renewable element resources,kg,=,1,Rhenium,7e3a1fea-3393-3377-a83f-5210b4368090,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,rhodium,c5985260-85ee-4370-9b0c-72a0be65e715,Resources/ground/Non-renewable element resources,kg,=,1,Rhodium,7d72384b-7b09-3c0d-a1b0-cf6904eb1571,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,ruthenium,1b6c0eca-60ac-4399-ae96-b20900cf5869,Resources/ground/Non-renewable element resources,kg,=,1,Ruthenium,28795df9-9fcc-39a2-a60c-038a6773b1f9,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,sulfur,aa1da294-8e09-4a7d-8dee-9436994e61ea,Resources/ground/Non-renewable element resources,kg,=,1,Sulfur,b84c05a3-ea17-37b4-ba8a-094efbb2a3f6,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,antimony,a35e4aa8-a39c-44a9-8c8a-e87e60533459,Resources/ground/Non-renewable element resources,kg,=,1,Antimony,1d691e64-4f46-3268-96c9-64d4e7758e80,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,scandium,85b7ae70-9426-4965-a7fe-f275a1b2eba3,Resources/ground/Non-renewable element resources,kg,=,1,Scandium,dce7e9d5-4f12-3865-81b1-fee5d9ebc154,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,selenium,6f326d2c-5961-44b1-91c5-1a3bd0514742,Resources/ground/Non-renewable element resources,kg,=,1,Selenium,a07691dc-4996-3956-bc76-3fc39d0e559c,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,silicon,88f90b2c-2975-4f4b-b54d-897b3257b3c8,Resources/ground/Non-renewable element resources,kg,=,1,Silicon,d56ecf74-2408-37b4-9856-0064a02026a1,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,samarium,e849b6cf-efb5-4a92-b1e7-d130b4372b38,Resources/ground/Non-renewable element resources,kg,=,1,Samarium,35324cfd-5950-3559-a33f-7609fc0b0ab0,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,tin,b36a012c-82eb-4094-bb36-88bb326ae0cc,Resources/ground/Non-renewable element resources,kg,=,1,Tin,e37770b5-c4e6-3171-a28c-7f1e2954d655,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,strontium,b69b7c40-de93-4fd6-91da-b965982fdfca,Resources/ground/Non-renewable element resources,kg,=,1,Strontium,27e1207d-8801-3860-9f7a-40a807ee027b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,tantalum,0f71841a-b9a4-49cc-8c71-516c2b86f94a,Resources/ground/Non-renewable element resources,kg,=,1,Tantalum,834520b3-9bcb-364f-9673-01f85cd9abfa,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,terbium,ff73aebd-cfdc-482c-823f-7139c6c386b7,Resources/ground/Non-renewable element resources,kg,=,1,Terbium,d4e1fb9c-e2b6-3be0-bd3f-a19577c11da6,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,tellurium,f4c91f71-fd22-4a49-91ee-dd9fe6c4e4ac,Resources/ground/Non-renewable element resources,kg,=,1,Tellurium,40d37a82-22b1-3dd1-9b32-2419d9d36310,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,thorium,3624ea9d-4d59-44a0-a556-08c3c51538a3,Resources/ground/Non-renewable element resources,kg,=,4000,Thorium-232,dd85344e-71c7-32ee-8a0d-8212cce750ac,resource/ground,kBq,Hottle,Edelen,8/24/2020
IDEAv2.2,titanium,c5ae18a1-98f2-4809-9ca7-c4783aa4cfc8,Resources/ground/Non-renewable element resources,kg,=,1,Titanium,347eca0e-b435-30d0-8e8c-02dd23cb9694,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,thallium,fa1996a5-0272-492d-b75b-ec406ac4145a,Resources/ground/Non-renewable element resources,kg,=,1,Thallium,e42490d2-9a35-39e8-9ce6-d206af38baae,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,thulium,adeb44b6-b13b-48e7-a477-65ba5196dd15,Resources/ground/Non-renewable element resources,kg,=,1,Thulium,8a17264f-f155-3b0f-9555-6b1153c9d297,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,uranium,9b9c722d-9232-4d57-8fe8-99b71a38aa68,Resources/ground/Non-renewable energy resources,MJ,=,2.00E-06,Uranium,af4664da-60f0-31e5-83ba-0d2518959c5b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,uranium,f7d890b9-9192-425e-840d-55dacdc6deea,Resources/ground/Non-renewable energy resources,kg,=,1,Uranium,af4664da-60f0-31e5-83ba-0d2518959c5b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,vanadium,68bf2d97-bf8e-4346-90e3-360d8dfb5a17,Resources/ground/Non-renewable element resources,kg,=,1,Vanadium,9260af11-9fbe-30a4-8e70-27f7ed845560,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,tungsten,95f80b11-c32f-430a-9c76-877710e2de3f,Resources/ground/Non-renewable element resources,kg,=,1,Tungsten,da13a715-346a-30ee-aa9e-ac037a496e35,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,yttrium,3685e3b5-17f2-43c0-9d0e-93d776c60837,Resources/ground/Non-renewable element resources,kg,=,1,Yttrium,897308a4-ea53-3ffa-9e08-903a452ae894,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,ytterbium,7dd1b051-d53f-474c-bb57-9b7110c9619a,Resources/ground/Non-renewable element resources,kg,=,1,Ytterbium,41970268-4a02-36d3-b234-bdedf37338dc,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,zinc,cdd38c6f-a5f4-409f-8a71-7d1612afd182,Resources/ground/Non-renewable element resources,kg,=,1,Zinc,7dbe300b-d061-3e5e-a9f0-1813e89d415c,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,zirconium,6f34968b-8ba5-48a7-a5e3-aed84b9a378f,Resources/ground/Non-renewable element resources,kg,=,1,Zirconium,3ca65344-7d94-3bc1-8454-32d2e77766f4,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,"metallurgical coal, 29.0MJ/kg",8d74c908-46bc-4b98-bc23-4e607e39d1db,Resources/ground/Non-renewable energy resources,kg,~,29,"Coal, bituminous",e344d353-61b8-3be6-a2a5-fd5ee93d8a89,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,soft coal,0d300e11-c63f-4db3-a39c-18db9103dfb0,Resources/ground/Non-renewable energy resources,MJ,=,1,"Coal, bituminous",e344d353-61b8-3be6-a2a5-fd5ee93d8a89,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"hard coal, 25.7MJ/kg",7719ef28-cd4f-4bc1-8898-4137f419ea65,Resources/ground/Non-renewable energy resources,kg,=,25.7,"Coal, anthracite",ab4d79b6-f2ad-3757-beae-17cba8a53f5a,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"anthracite, 26.9MJ/kg",62cb7413-a4bf-4f66-ac6d-601fefa87635,Resources/ground/Non-renewable energy resources,kg,=,26.9,"Coal, anthracite",ab4d79b6-f2ad-3757-beae-17cba8a53f5a,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"brown coal, 17.2MJ/kg",55617aae-0ade-4bc5-9158-ba340ccbded8,Resources/ground/Non-renewable energy resources,kg,=,17.2,"Coal, lignite",de2f54e4-dbbe-3850-a341-c6d921dbfdec,resource/ground,MJ,Hottle,Edelen,8/24/2020
