SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,,SourceFlowCAS,SourceFlowCAS,Notes,TAH notes,
IDEA,chromium,{FFF12D9F-6DEB-4C33-9642-04D9F41107B2},Emissions/ ground/ unspecified,kg,=,,Chromium,,emission/ground,kg,Edelen,Hottle,7/2/2020,,007440-47-3,7440473,CAS Match,,1
IDEA,nickel compounds,{354865F0-3C87-4599-A7E8-E0BA4263BB86},Emissions/ water/ unspecified,kg,=,,Nickel compounds,,emission/water,kg,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,building site,{005E0302-4691-4D0A-92DB-F76439426A6B},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/industrial,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,brine,{3A01C2A3-1307-41D9-8F27-E20D0A4E632F},Resources/ water/ withdrawal,m3,=,1025,"Water, saline",,resource/water/brackish water body,kg,Edelen,Hottle,7/10/2020,,007732-18-5,7732185,Manual Match,,1
IDEA,disulfoton,{66CF2B6D-4503-4EE1-B06B-770C2428F2AB},Emissions/ water/ unspecified,kg,=,,Disulfoton,,emission/water,kg,Edelen,Hottle,7/2/2020,,000298-04-4,298044,CAS Match,,1
IDEA,chlorothalonil,{CEDFF152-E40E-4C1C-8BDC-07AE6016E39A},Emissions/ air/ unspecified,kg,=,,Chlorothalonil,,emission/air,kg,Edelen,Hottle,7/2/2020,,001897-45-6,1897456,CAS Match,,1
IDEA,dolomite,{706FF8DC-F16A-4B13-947D-D5165DADFBAB},Resources/ ground/ Non-renewable material resources,kg,=,,Dolomite,,resource/ground,kg,Edelen,Hottle,7/2/2020,,069227-00-5,69227005,CAS Match,,1
IDEA,chromium,{EFAD5DEB-57B2-4055-B5FD-EABBC7FCDFBD},Resources/ ground/ Non-renewable element resources,kg,=,,Chromium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-47-3,7440473,CAS Match,,1
IDEA,fluorspar,{E65C4BB0-DD73-4A84-9D38-3F9975AE7444},Resources/ ground/ Non-renewable material resources,kg,=,,Fluorite,,resource/ground,kg,Edelen,Hottle,7/2/2020,,014542-23-5,14542235,Manual Match,,1
IDEA,vanadium,{B50CE6CF-B850-47B1-8E2E-F1961765D501},Emissions/ air/ unspecified,kg,=,,Vanadium,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-62-2,7440622,CAS Match,,1
IDEA,arsenic,{39FE9C5E-49E5-485C-BA35-B52E5A7E2503},Emissions/ ground/ unspecified,kg,=,,Arsenic,,emission/ground,kg,Edelen,Hottle,7/2/2020,,007440-38-2,7440382,CAS Match,,1
IDEA,forest,{551B8318-EB94-43CC-9F04-867D5D343282},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/terrestrial/forest,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,cobalt,{67608911-514C-4448-92AC-28ECBEC385DB},Resources/ ground/ Non-renewable element resources,kg,=,,Cobalt,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-48-4,7440484,CAS Match,,1
IDEA,samarium,{AEAB6F85-DA08-4F93-A878-7BA451F45E24},Resources/ ground/ Non-renewable element resources,kg,=,,Samarium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-19-9,7440199,CAS Match,,1
IDEA,gadolinium,{8005A16F-34F0-47E6-8D13-44F0C2B0C54B},Resources/ ground/ Non-renewable element resources,kg,=,,Gadolinium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-54-2,7440542,CAS Match,,1
IDEA,PFC-116,{3AC5B93A-9B6D-4C46-AA60-34B7CA80DF78},Emissions/ air/ unspecified,kg,=,,Hexafluoroethane,,emission/air,kg,Edelen,Hottle,7/2/2020,,000076-16-4,76164,CAS Match,,1
IDEA,lead,{3FFC6DD2-4DF4-4B7D-8C9A-B00A035968F8},Emissions/ air/ unspecified,kg,=,,Lead,,emission/air,kg,Edelen,Hottle,7/2/2020,,007439-92-1,7439921,CAS Match,,1
IDEA,lead,{C63C4CFC-6DCD-4D08-8235-4EEAFA2D1400},Emissions/ ground/ unspecified,kg,=,,Lead,,emission/ground,kg,Edelen,Hottle,7/2/2020,,007439-92-1,7439921,CAS Match,,1
IDEA,feldspar,{16FD5972-B1CA-4A06-9785-81038083B23E},Resources/ ground/ Non-renewable material resources,kg,=,,Feldspar group,,resource/ground,kg,Edelen,Hottle,7/10/2020,,012168-80-8,12168808,Manual Match,,1
