Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
sodium carbonate,000497-19-8,,"Na2CO3;Soda;炭酸ソーダ,Na2CO3;Soda;炭酸ソーダ",kg,,,,Resources/ground/Non-renewable material resources,fb1c7ca5-39d0-45c3-872f-f0f41e32a6d4,,,7542-12-3; 1332-57-6; 497-19-8,
silica stone,,,"けい石;ケイ石,",kg,Geological,,,Resources/ground/Non-renewable material resources,524e8b82-7553-406a-b38f-6f9bbee29120,,,,
marble,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,8e64309e-882a-4956-92d8-da1d0c514656,,,,
pit sand,,,"山砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,01038646-9776-43d8-9ee7-2e05deea9ecd,,,,
sand (sea and river),,,"海砂;川砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,265c99ab-f0c8-4d4d-b337-474bd2b3b98d,,,,
serpentine,,,"蛇紋石;antigorite;chrysolite;lizardite,antigorite;chrysolite;lizardite",kg,,,,Resources/ground/Non-renewable material resources,c3b3380c-3d81-4b3a-827d-e5d720843ae2,,,18786-24-8; 18786-24-8; 18786-24-8; 18786-24-8; 55322-91-3; 18786-24-8,
peridotite,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,567486b4-4011-422a-b1da-4160332bc997,,,,
pyrophyllite,,,"pyrophyllite;mellite,",kg,,,,Resources/ground/Non-renewable element resources,db4378da-b5e4-4048-af40-1a659f5ba619,,,,
cryolite,,,"ヘキサフルオロアルミン酸ナトリウム;Na3AlF6;Greenland spar;ice stone,Na3AlF6;Greenland spar;ice stone",kg,Geological,,,Resources/ground/Non-renewable material resources,3d9609ab-593c-4ab1-9614-2408de519bd6,,,15096-52-3; 13775-53-6,
acid clay,,,"acid earth,",kg,Geological,,,Resources/ground/Non-renewable material resources,fd7b9cbd-86dc-4a31-8e9b-5788c45ca135,,,,
diamond,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,1f60cc02-d896-48fc-a143-6fc5056aad3a,,,,
Mineral resources from the ground of the other,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,b0225e0c-cca9-4719-b2a9-cbcaec60d480,,,,
"wood, Japan, artificial forest, without reforestation",,,人工林⇒裸地（ 再造林放 棄）,kg,,,,Resources/ground/Renewable material resources,1380ad31-59cc-4644-80ed-e433e7120bf9,,,,
"wood, Japan, artificial forest, reforestation",,,人工林⇒人工林,kg,Biological,,,Resources/ground/Renewable material resources,e2aef9da-b00d-4cfe-a72d-838743a06ee6,,,,
natural latex,,,,kg,,,,Resources/ground/Renewable material resources,7afbfc27-58f3-410f-bb81-53d681414428,,,78-79-5; 68441-58-7; 9006-04-6; 78-79-5,
air,,,,kg,Geological?,,,Resources/air/Renewable material resources,763a1c89-f60c-4357-b6de-b43f41759fc0,,,,
carbon dioxide,,,"CO2;二酸化炭素;CO2;carbon dioxide,CO2;二酸化炭素;CO2;carbon dioxide",kg,,,,Resources/air/Renewable material resources,68af811c-a3ed-42e8-b14a-ae4e4f83a90d,,,2684-00-6; 18983-82-9; 124-38-9,
helium,007440-59-7,,"He;ヘリウム（資源）;He reserves;helium reserves,He;ヘリウム（資源）;He reserves;helium reserves",kg,Geological?,,,Resources/air/Renewable element resources,90340c7a-5cb2-4102-952f-78811d06ec3f,,,71086-78-7; 7440-59-7,
primary energy from solar energy,,,,MJ,,,,Resources/air/Renewable energy resources,e18828fc-c48a-4590-b8e7-7d5883620d35,,,,
primary energy from wind power,,,,MJ,Energy,,,Resources/air/Renewable energy resources,2eaf1611-daf2-4be2-985c-c71f6f2d7190,,,,
surface water,,,"H2O,H2O",m3,,,,Resources/water/withdrawal,052ecde8-f80c-4afa-99c8-7d8343493134,,,,
surface water,,,"H2O,H2O",m3,Water,,,Resources/water/use,110aa946-60e6-4795-8f51-45fddc69f662,,,,
surface water,,,"H2O,H2O",m3,Water,,,Resources/water/consumption,fb1d3612-ef1d-4504-82f1-15d38c8e5082,,,,
sea water,,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,2fbb9235-9e43-4fb7-b736-7d45d9a312f7,,,20510-56-9; 32343-72-9; 14762-51-7; 7647-14-5,
sea water,,,"H2O,H2O",m3,Water,,,Resources/water/use,2b9bef77-a3d2-45f2-b98a-25b7a553bb10,,,20510-56-9; 32343-72-9; 14762-51-7; 7647-14-5,
sea water,,,"H2O,H2O",m3,Water,,,Resources/water/consumption,82e5abe4-55dd-47ea-a397-94ac31839cce,,,20510-56-9; 32343-72-9; 14762-51-7; 7647-14-5,
ground water,,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,4b3803a2-aa7f-4887-98d4-be507b82b83f,,,,
ground water,,,"H2O,H2O",m3,Water,,,Resources/water/use,eeff19fe-a09d-4b3f-b2b0-ad74143b4f65,,,,
ground water,,,"H2O,H2O",m3,Water,,,Resources/water/consumption,baf40c0e-a79a-455d-905a-9f46f247529c,,,,
brine,007732-18-5,,,m3,Water,,,Resources/water/withdrawal,3a01c2a3-1307-41d9-8f27-e20d0a4e632f,,,,
brine,007732-18-5,,"H2O,H3O",m3,Water,,,Resources/water/use,c8a2ea77-67f4-4ade-9f0b-d07fc616dd0a,,,,
brine,007732-18-5,,"H2O,H3O",m3,Water,,,Resources/water/consumption,7f6d054d-21ee-40f9-ad3c-c65669b1539e,,,,
rain water,,,"雨水,rainwater",m3,Water,,,Resources/water/withdrawal,9d49c7c1-3550-49d0-adf8-ea6bd6028993,,,,
rain water,,,"雨水,rainwater",m3,Water,,,Resources/water/use,b418fc41-b805-4023-b9ec-a65ef6e46fb1,,,,
primary energy from hydro power,,,,MJ,,,,Resources/water/Renewable energy resources,2cd2bdcf-95c3-46bd-8946-14d23b4f309a,,,,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,,,,Emissions/air/unspecified,fa168c85-9d4a-452d-9a46-ae1e7ac4fc58,,,7440-38-2,
cadmium,007440-43-9,,"Cd;カドミウム;Cd;cadmium,Cd;カドミウム;Cd;cadmium",kg,,,,Emissions/air/unspecified,c6a355af-39eb-4abe-a8d3-452801dec91e,,,72172-64-6; 81271-94-5; 7440-43-9,
methane,000074-82-8,,"CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,f6ef4ccc-68b5-4b8a-b649-3374b1bfd368,,,308068-56-6; 1034343-98-0; 8006-14-2; 74-82-8; 150036-83-2; 14493-06-2,
methane (biogenic),000074-82-8,,"CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,e2f4c1c3-b65a-44b3-b21f-e147c82cba7a,,,,
methane (fossil),000074-82-8,,"CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,2effeb07-affd-4ee8-a632-02e20b476ea6,,,,
chlorine,007782-50-5,,"Cl2;塩素（資源）;Cl2 reserves;chlorine reserves,Cl2;塩素（資源）;Cl2 reserves;chlorine reserves",kg,Element or Compound,,,Emissions/air/unspecified,d78c08af-d0d0-4ebc-b571-7beb657f9479,,,7782-50-5,
carbon monoxide,000630-08-0,,"CO;一酸化炭素;CO;carbon monoxide,CO;一酸化炭素;CO;carbon monoxide",kg,Element or Compound,,,Emissions/air/unspecified,35e26b00-3ba1-42c3-99b7-94311121505b,,,630-08-0,
carbon dioxide,,,"CO2;二酸化炭素;CO2;carbon dioxide,CO2;二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,d8c9f69c-923e-4efb-8b6d-c2eb4b8089a1,,,2684-00-6; 18983-82-9; 124-38-9,
carbon dioxide (biogenic),,,"CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,ba5ecef1-096f-4e4c-8395-4475240efc19,,,,
