Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
Monoethanolamine,000141-43-5,C2H7NO,,kg,chemical,,,water/unspecified,071efe89-12e0-4ff8-80d1-4e6cf1e37233,,,85047-08-1; 141-43-5; 33598-78-6; 141-43-5
Monolinuron,001746-81-2,,3-(4-chlorophenyl)-1-methoxy-1-methylurea,kg,chemical,,,soil/agricultural,340eb8e4-5282-4862-8840-35fcc50e3505,,,1746-81-2
Monophenyltin,002406-68-0,,,kg,chemical,,,water/ocean,cff46201-bfb0-486c-8f70-277a413c58a1,,,
MSMA,002163-80-6,, Clean Crop MSMA 6 Plus,kg,chemical,,,soil/agricultural,ef4884eb-c75d-4ef8-9170-11b20401cbca,,,2163-80-6
m-Xylene,000108-38-3,,,kg,chemical,,,"air/low population density, long-term",62bd2ced-16de-43c2-88e1-adfae242654e,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,air/lower stratosphere + upper troposphere,50e083ba-5784-4801-8011-164a14c61b5a,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,air/non-urban air or from high stacks,d24f41d7-279e-4f5a-9ac9-00f726dc3bcc,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,air/unspecified,cfdbc576-e8dc-44ef-bdf2-ddd7009ce57e,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,air/urban air close to ground,10571d92-ea97-4ac6-adb6-b25893a631cb,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,water/ground-,1c3c6032-1ed1-4e75-a2a9-af67850222b4,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,"water/ground-, long-term",b793793a-fc48-409c-9d5a-441777c82ba5,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,water/ocean,38439e6a-ce6d-40cc-b78d-97c09d87e7d7,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,water/surface water,e40fb8b9-a290-44df-9d22-71a164f0c2d9,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
m-Xylene,000108-38-3,,,kg,chemical,,,water/unspecified,feb813f2-ff76-4f52-a966-55297494de4a,,,1330-20-7; 425420-97-9; 108-38-3; 108-38-3
Myclobutanil,088671-89-0,C15H17ClN4,,kg,chemical,,,soil/agricultural,b10642d6-cd29-4cf0-9ebe-755902c9a3ae,,,88671-89-0
Naled,000300-76-5,, Bromchlorphos,kg,chemical,,,soil/agricultural,f72b4424-929b-4c74-99e4-60b0ad364995,,,300-76-5
Naphtalene,000091-20-3,C10H8,"bicyclo(4.4.0)deca-1,3,5,7,9-pentene",kg,chemical,,,air/unspecified,7346ba9f-476c-4343-9f37-d1bb174eed6d,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3
Naphtalene,000091-20-3,C10H8,"bicyclo(4.4.0)deca-1,3,5,7,9-pentene",kg,chemical,,,water/surface water,6ed91be2-eb3f-4676-957c-60de03d8e536,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3
Naphthalene,000091-20-3,,,kg,chemical,,,air/unspecified,3df4c2f4-c854-4493-b514-f2f3accdc307,,,72931-45-4; 25135-16-4; 1683-98-3; 91-20-3; 91-20-3
Napropamide,015299-99-7,,"(RS)-N,N-diethyl-2-(1-naphthyloxy)propionamide",kg,chemical,,,soil/agricultural,9122eb15-12c8-4621-a036-209f6c06e3fb,,,15299-99-7
N-Bromoacetamide,000079-15-2,,,kg,chemical,,,"air/low population density, long-term",040b40e8-bc9f-4219-ba9f-b648cb4c7a98,,,79-15-2
N-Bromoacetamide,000079-15-2,,,kg,chemical,,,air/lower stratosphere + upper troposphere,bbff44a2-cd6d-4200-98c7-e4f772fd24c5,,,79-15-2
N-Bromoacetamide,000079-15-2,,,kg,chemical,,,air/non-urban air or from high stacks,fa47e330-a448-485c-8f5e-294a0c740711,,,79-15-2
N-Bromoacetamide,000079-15-2,,,kg,chemical,,,air/unspecified,c37ff1f2-c2de-4d31-a875-8b6265ab97bf,,,79-15-2
N-Bromoacetamide,000079-15-2,,,kg,chemical,,,air/urban air close to ground,e9a52ea8-864d-4ed7-94dd-64bef4cae2cd,,,79-15-2
Neburon,000555-37-3,,,kg,chemical,,,soil/agricultural,fca49bf5-8cae-559f-b76b-5f6ad4fe658d,,,555-37-3
"Neodymium, 4% in bastnasite, 0.4% in crude ore, in ground",007440-00-8,,,kg,geological,,0,natural resource/in ground,c970e81e-1c4e-4f21-814c-0c25444f41d2,,,
"Neodymium, in ground",007440-00-8,Nd,,kg,geological,,1,natural resource/in ground,db0c855c-e9ef-58d9-97cc-960e646fc882,,,
Neptunium-237,013994-20-2,,,kBq,chemical,,,"air/low population density, long-term",6827e89e-d0ed-46d3-9337-7deb9f8848bc,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,air/lower stratosphere + upper troposphere,f78331c1-2f23-4661-b37e-c51c9eea5384,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,Np,,kBq,chemical,,,air/non-urban air or from high stacks,37c36adc-7728-4081-81f3-6cc2da7c9f9f,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,air/unspecified,9fb84b6b-8396-4190-80f0-fc8cbc97b107,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,Np,,kBq,chemical,,,air/urban air close to ground,d36067a2-bf88-4726-8a32-ce13d3056103,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,water/ground-,19084123-7b31-4054-9afe-adc0dd20192f,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,"water/ground-, long-term",78ed3462-c627-458e-889e-6b6a6dcdebeb,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,water/ocean,65729ea1-eadb-4ca8-a573-1069a3d5f891,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,Np,,kBq,chemical,,,water/surface water,7cc66f3a-9b59-4ad0-8181-3d2c5d690961,,,86954-34-9; 13994-20-2
Neptunium-237,013994-20-2,,,kBq,chemical,,,water/unspecified,2ec209eb-22f1-47ca-8d32-c11dc4a92d0d,,,86954-34-9; 13994-20-2
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",007440-02-0,,,kg,geological,,0,natural resource/in ground,0d7f8b87-12f4-4e83-a5a2-854e2f2b47de,,,
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground",007440-02-0,,,kg,geological,,0,natural resource/in ground,febbfa6e-44d4-42a0-abcd-aec8a428f75e,,,
Nickel,007440-02-0,,,kg,chemical,,,"air/low population density, long-term",c89873de-cd23-4323-a948-f5cfeebd2fc9,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,air/lower stratosphere + upper troposphere,0545c382-2312-43b6-9ec3-63dbb1438565,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,air/non-urban air or from high stacks,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,air/unspecified,a5506f4b-113f-4713-95c3-c819dde6e48b,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,air/urban air close to ground,e43a270f-4f88-4789-a0b8-7aba56677743,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,soil/agricultural,b4580545-243d-48d2-a3a0-2633a4f46fb1,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,soil/forestry,5de1943f-b011-45a0-97d4-ed15eea6a382,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,soil/industrial,a72a45ee-395a-4d25-b893-9d183e43e76e,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,,,kg,chemical,,,soil/unspecified,2bcad3b3-5305-481c-a166-ad5e6eac2675,,,21595-53-9; 7440-02-0
Nickel,007440-02-0,Ni,,kg,chemical,,,water/ground-,56815b4f-6138-4e0b-9fac-c94fd6b102b3,,,21595-53-9; 7440-02-0
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",007440-02-0,,,kg,geological,,0,natural resource/in ground,86c6e6cd-c2f5-4977-bad6-ce9cd48cf721,,,
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",007440-02-0,,,kg,geological,,0,natural resource/in ground,e47e4e5f-6528-413d-a8fb-1cd1875fbd73,,,
"Nickel, in ground",007440-02-0,Ni,,kg,geological,,1,natural resource/in ground,974213ef-1ba0-40e5-bc7b-52ef099e9e09,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/ground-,e030108f-2125-4bcb-a73b-ad72130fcca3,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,"water/ground-, long-term",9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/ocean,23cb10a4-6228-4ce4-9fb5-7043bc31faec,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/surface water,9798359e-a3ee-4362-a038-23a188582c6e,,,
"Nickel, ion",014701-22-5,,,kg,chemical,,,water/unspecified,6ec6cdaa-5a01-46d4-b716-1905e56690ea,,,
"Nickel, Ni 2.5E+0%, in mixed ore, in ground",007440-02-0,,,kg,geological,,0,natural resource/in ground,f09c3144-a268-4bed-8ca2-63005b6ef75f,,,
